OBJECTID,Shape,ID_PARADERO,ID_PARADA,ID_RUTA,NRO_PARADA,DIRECCION,TIPO_PARADA,RECORRIDO,CODIGO_RUTA,NOMBRE_RUTA,SISTEMA_RUTA,TIPO_RUTA,EMPRESA,X_MAGNAMED,Y_MAGNAMED,LONGITUD,LATITUD
34,"(826798.8274, 1186457.4629000002)",50261,90355077,90355,77.0,"CL 63 142-70, Medellin",Reglamentaria,Destino-Origen,C23i DERECHA,San Cristóbal-estación San Javier,8A,Integrada,Tax Maya,826798.8274,1186457.4629,-75.64240464,6.28019677
35,"(826806.0979, 1186058.1096)",50263,90082006,90082,6.0,"CR 143A x CL 60C  , Medellin",Reglamentaria,Origen-Destino,255D,San Cristóbal -Conexión vial,2A,Directa Centro,Rápido San Cristóbal,826806.0979,1186058.1096,-75.64233842,6.27658644
36,"(826806.0979, 1186058.1096)",50263,90086015,90086,15.0,"CR 143A x CL 60C  , Medellin",Reglamentaria,Origen-Destino,255P,Palmitas-Centro,2A,Directa Centro,Rápido San Cristóbal,826806.0979,1186058.1096,-75.64233842,6.27658644
37,"(826842.5493, 1186010.7625000002)",50264,90331084,90331,84.0,"CL 60C 135-168, Medellin",Reglamentaria,Destino-Origen,C23i,La Palma-estación San Javier,8A,Integrada,Tax Maya,826842.5493,1186010.7625,-75.64200903,6.27615844
38,"(826842.5493, 1186010.7625000002)",50264,90332009,90332,9.0,"CL 60C 135-168, Medellin",Reglamentaria,Origen-Destino,C23i,Las Playas-estación San Javier,8A,Integrada,Tax Maya,826842.5493,1186010.7625,-75.64200903,6.27615844
39,"(826883.4256000003, 1183154.0359)",50275,90296023,90296,23.0,"CL 34B x CR 128, Medellin",Reglamentaria,Destino-Origen,201i,Los Tanques-El Volcán-El Corazón-San Javier,8A,Integrada,Conducciones América,826883.4256,1183154.0359,-75.64163595,6.25033234
40,"(826883.4256000003, 1183154.0359)",50275,90294046,90294,46.0,"CL 34B x CR 128, Medellin",Reglamentaria,Destino-Origen,201B,Corazón-Plaza Minorista,8A,Directa Centro,Conducciones América,826883.4256,1183154.0359,-75.64163595,6.25033234
41,"(826886.69, 1183129.3656000001)",50276,90296001,90296,1.0,"CL 34B x CR 128, Medellin",Reglamentaria,Origen-Destino,201i,Los Tanques-El Volcán-El Corazón-San Javier,8A,Integrada,Conducciones América,826886.69,1183129.3656,-75.64160642,6.25010932
42,"(826886.69, 1183129.3656000001)",50276,90300001,90300,1.0,"CL 34B x CR 128, Medellin",Reglamentaria,Origen-Destino,203 Corazón,Corazón-Oriental,8A,Directa Centro,Conducciones América,826886.69,1183129.3656,-75.64160642,6.25010932
43,"(826918.0583, 1187017.4538000003)",50279,90353087,90353,87.0,"CR 136C 66-420, Medellin",Reglamentaria,Destino-Origen,255 V3 HOR ESP,Boqueron Centro Horario Especial,2A,Directa Centro,Rápido San Cristóbal,826918.0583,1187017.4538,-75.64132815,6.28525951
